城市分层,省份,城市,当天天气,温度,配送费,占比,明日天气,后日天气,大后天天气
,江苏,泰州,中雨,29,,,小雨 31°C,大雨 30°C,小雨 30°C
,山东,潍坊,晴,30,,,晴 30°C,多云 32°C,晴 33°C
,浙江,绍兴,小雨,34,,,中雨 33°C,小雨 34°C,小雨 36°C
,湖北,襄阳,晴,36,,,晴 36°C,阵雨 33°C,小雨 34°C
,广西,贵港,中雨,30,,,大雨 29°C,阵雨 30°C,晴 30°C
,重庆,重庆,晴,38,,,晴 40°C,晴 40°C,晴 40°C
,广东,阳江,雷阵雨,32,,,雷阵雨 32°C,雷阵雨 33°C,多云 32°C
,山西,阳泉,小雨,30,,,小雨 28°C,小雨 29°C,小雨 27°C
,黑龙江,鸡西,多云,29,,,小雨 29°C,小雨 30°C,阵雨 29°C
,黑龙江,鹤岗,多云,30,,,多云 32°C,阵雨 30°C,小雨 28°C
,贵州,黔西南布依族苗族自治州,多云,30,,,多云 30°C,多云 28°C,多云 27°C
